,지수
1633,99.71
1634,99.71
1635,99.71
1636,99.71
1637,99.71
1638,99.71
1639,99.71
1640,99.71
1641,99.71
1642,99.71
1643,99.63
1644,99.63
1645,99.63
1646,99.63
1647,99.63
1648,99.63
1649,99.63
1650,99.63
1651,99.63
1652,99.63
1653,99.63
1654,99.63
1655,99.63
1656,99.63
1657,99.63
1658,99.63
1659,99.63
1660,99.63
1661,99.63
1662,99.63
1663,99.63
1664,99.63
1665,99.63
1666,99.63
1667,99.63
1668,99.63
1669,99.63
1670,99.63
1671,99.63
1672,99.63
1673,99.63
1674,100.19
1675,100.19
1676,100.19
1677,100.19
1678,100.19
1679,100.19
1680,100.19
1681,100.19
1682,100.19
1683,100.19
1684,100.19
1685,100.19
1686,100.19
1687,100.19
1688,100.19
1689,100.19
1690,100.19
1691,100.19
1692,100.19
1693,100.19
1694,100.19
1695,100.19
1696,100.19
1697,100.19
1698,100.19
1699,100.19
1700,100.19
1701,100.19
1702,100.19
1703,100.19
1704,100.19
1705,100.74
1706,100.74
1707,100.74
1708,100.74
1709,100.74
1710,100.74
1711,100.74
1712,100.74
1713,100.74
1714,100.74
1715,100.74
1716,100.74
1717,100.74
1718,100.74
1719,100.74
1720,100.74
1721,100.74
1722,100.74
1723,100.74
1724,100.74
1725,100.74
1726,100.74
1727,100.74
1728,100.74
1729,100.74
1730,100.74
1731,100.74
1732,100.74
0,100.74
1,100.74
2,100.18
3,100.18
4,100.18
5,100.18
6,100.18
7,100.18
8,100.18
9,100.18
10,100.18
11,100.18
12,100.18
13,100.18
14,100.18
15,100.18
16,100.18
17,100.18
18,100.18
19,100.18
20,100.18
21,100.18
22,100.18
23,100.18
24,100.18
25,100.18
26,100.18
27,100.18
28,100.18
29,100.18
30,100.18
31,100.18
32,100.18
33,100.09
34,100.09
35,100.09
36,100.09
37,100.09
