,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
1356,2019년 9월 18일,20.9,30.2,14.3,1.9,0.0,15.899999999999999
1357,2019년 9월 19일,19.7,25.1,15.3,3.9,0.0,9.8
1358,2019년 9월 20일,19.5,23.5,14.0,9.4,0.0,9.5
1359,2019년 9월 21일,18.8,21.8,16.7,10.0,56.0,5.100000000000001
1360,2019년 9월 22일,18.8,19.7,17.1,10.0,48.5,2.599999999999998
1361,2019년 9월 23일,18.5,21.9,16.3,5.6,0.5,5.599999999999998
1362,2019년 9월 24일,18.0,26.7,12.3,2.8,0.0,14.399999999999999
1363,2019년 9월 25일,17.9,25.4,10.1,7.1,0.0,15.299999999999999
1364,2019년 9월 26일,20.4,26.7,15.5,6.9,0.0,11.2
1365,2019년 9월 27일,21.7,26.6,17.1,8.3,0.5,9.5
1366,2019년 9월 28일,22.8,26.5,20.6,8.1,0.5,5.899999999999999
1367,2019년 9월 29일,23.8,30.5,18.4,2.8,0.0,12.100000000000001
1368,2019년 9월 30일,23.2,30.9,16.0,4.8,0.0,14.899999999999999
1369,2019년 10월 1일,23.0,25.8,21.3,9.4,0.4,4.5
1370,2019년 10월 2일,21.7,23.1,20.9,10.0,121.5,2.200000000000003
1371,2019년 10월 3일,22.6,26.7,18.3,5.3,6.0,8.399999999999999
1372,2019년 10월 4일,20.7,28.1,15.7,4.3,0.0,12.400000000000002
1373,2019년 10월 5일,21.0,25.8,17.7,8.9,0.0,8.100000000000001
1374,2019년 10월 6일,16.6,21.2,11.9,8.5,0.0,9.299999999999999
1375,2019년 10월 7일,15.4,18.8,12.1,8.9,6.5,6.700000000000001
1376,2019년 10월 8일,17.5,23.5,13.0,4.7,0.0,10.5
1377,2019년 10월 9일,13.5,22.2,6.0,0.5,0.0,16.2
1378,2019년 10월 10일,15.1,24.1,6.0,6.4,0.0,18.1
1379,2019년 10월 11일,18.6,25.4,12.9,3.9,0.0,12.499999999999998
1380,2019년 10월 12일,18.9,23.5,13.1,2.6,0.0,10.4
1381,2019년 10월 13일,14.6,21.1,8.7,1.1,0.0,12.400000000000002
1382,2019년 10월 14일,15.1,23.2,7.0,4.4,0.0,16.2
1383,2019년 10월 15일,13.6,18.2,7.9,4.1,1.0,10.299999999999999
1384,2019년 10월 16일,11.7,21.1,5.3,5.0,0.0,15.8
1385,2019년 10월 17일,13.0,20.3,7.2,7.9,0.0,13.100000000000001
1386,2019년 10월 18일,14.5,17.7,10.9,9.5,4.0,6.799999999999999
1387,2019년 10월 19일,16.7,23.7,11.9,3.1,3.0,11.799999999999999
1388,2019년 10월 20일,15.0,23.6,10.0,4.3,0.0,13.600000000000001
